Date,Executive Headline,Summary,Source URL,Source,category
25-11-2025,Elon Musk admits other automakers don’t want to license Tesla’s ‘Full Self-Driving’,"After years of teasing that other automakers would license Tesla’s Full Self-Driving (FSD) system, Elon Musk has now admitted that no other automakers want to license it. “They don’t want it. ” He says. more….",https://electrek.co/2025/11/24/elon-musk-admits-automakers-dont-want-license-tesla-full-self-driving/,Electrek,government
24-11-2025,CPSC warns Rad Power Bikes owners to stop using select batteries immediately due to fire risk,"In an unprecedented move, the US Consumer Product Safety Commission (CPSC) has issued a public safety warning urging owners of certain Rad Power Bikes e-bike batteries to immediately stop using them, citing a risk of fire, explosion, and potentially serious injury or death. more….",https://electrek.co/2025/11/24/cpsc-warns-rad-power-bikes-owners-to-stop-using-select-batteries-immediately-due-to-fire-risk/,Electrek,government
24-11-2025,Rivian’s e-bike brand launches $250 smart helmet with breakthrough safety tech and lights,"ALSO, the new micromobility brand spun out of Rivian, just announced official pricing for its long-awaited Alpha Wave helmet. The smart helmet, which introduces a brand-new safety tech called the Release Layer System (RLS), is now listed at $250, with “notify for pre-order” now open on ALSO’s site. Deliveries are expected to begin in spring 2026. more….",https://electrek.co/2025/11/24/also-launches-250-alpha-wave-smart-helmet-with-breakthrough-safety-tech-and-lights/,Electrek,automakers
24-11-2025,Georgia gets 26 new DC fast-charging stations with $24.4M of NEVI funds,"Georgia is putting more federal National Electric Vehicle Infrastructure (NEVI) dollars to work, with $24. 4 million allocated to 26 new DC fast-charging stations across the state. more….",https://electrek.co/2025/11/24/georgia-gets-26-new-dc-fast-charging-stations-with-24-4m-of-nevi-funds/,Electrek,government
24-11-2025,Tesla Pushes Mysterious 'Unsupervised' Geofenced Zones To Cars,"A mysterious push of ""unsupervised"" geofenced zones has begun to roll out to cars. Could this be where Unsupervised FSD will launch.",https://insideevs.com/news/779867/test-geofenced-fsd-customer-cars/,Inside EVs,government
24-11-2025,The new Acura RSX EV spotted at a Tesla Supercharger ahead of its launch,Acura is reviving the RSX to kick off its new generation of electric vehicles. The sporty electric SUV was caught at a Tesla Supercharger with an NACS port ahead of its official launch. more….,https://electrek.co/2025/11/24/new-acura-rsx-ev-spotted-at-tesla-supercharger-images/,Electrek,automakers
24-11-2025,I Charged A Cadillac Optiq At A Tesla Supercharger. It Was Disappointing,"The Cadillac Optiq is one of the first General Motors EVs with a Tesla NACS plug. Unfortunately, Supercharger performance isn't great.",https://insideevs.com/news/779895/cadillac-optiq-nacs-tesla-charging-test/,Inside EVs,automakers
24-11-2025,Tesla is bleeding AI talent to a small new robotics start-up,Tesla’s AI and robotics divisions are facing a significant “brain drain” as a stealth startup called Sunday Robotics emerges with a roster of engineers from Tesla’s Optimus and Autopilot teams. more….,https://electrek.co/2025/11/24/tesla-bleeding-ai-talent-small-new-robotics-start-up/,Electrek,automakers
24-11-2025,Tesla Claims Full Self-Driving Is Coming to Europe Soon. Regulators Say Nope,"Tesla wants to deploy Full Self-Driving (Supervised) in Europe. The main regulator in its way says ""not so fast. "".",https://insideevs.com/news/779890/tesla-fsd-europe-approval-2026-netherlands/,Inside EVs,government
24-11-2025,Stellantis to fully exit Comau as One Equity moves for full control – report,The equity firm holds an option to purchase the remaining 49. 9% of Comau within three years.,https://www.just-auto.com/news/stellantis-to-fully-exit-comau/,Just Auto,automakers
24-11-2025,"All-solid-state EV batteries hit a huge milestone in China, promising to double range","China’s first all-solid-state production line is up and running. With the equipment in place, GAC Group becomes the first automaker ready to mass-produce the “holy grail” of EV batteries, promising to double range and cut charging time. more….",https://electrek.co/2025/11/24/all-solid-state-ev-batteries-hit-milestone-promise-to-double-range/,Electrek,government
24-11-2025,UK set to unveil $2bn package to boost electric vehicle uptake,The government intends to end sales of new petrol and diesel cars by 2030.,https://www.just-auto.com/news/uk-package-boost-electric-vehicle-uptake/,Just Auto,government
24-11-2025,"Over 20,000 Ford And Lincoln PHEVs Could Catch Fire, And There’s No Fix",The Ford Escape PHEV and Lincoln Corsair PHEV are being recalled for the second time over the same issue.,https://insideevs.com/news/779851/ford-escape-lincoln-corsair-phev-recall-fire/,Inside EVs,automakers
24-11-2025,"Tesla announces expected FSD approval date in Europe, regulators deny","For the first time in what feels like forever, Tesla has put a hard date on the arrival of Full Self-Driving (Supervised) in Europe. The automaker confirmed that the Dutch vehicle authority (RDW) has committed to granting national approval for the system in February 2026, which is just a few months away. Update: RDW has denied that it has told Tesla it plans to grant approval in February. more….",https://electrek.co/2025/11/24/tesla-announces-fsd-approval-europe-february-2026/,Electrek,government
24-11-2025,Kia’s new electric SUV is ready to go beyond the pavement,"The EV5 is about the size of Kia’s best-selling SUV, the Sportage. Kia revealed a new EV5 WKNDR concept, giving us our first look at the electric off-roader. more….",https://electrek.co/2025/11/24/kias-electric-suv-ready-to-go-beyond-pavement-images/,Electrek,automakers
24-11-2025,YASA reports new axial flux motor with 59 kW/kg peak power density,"YASA, a company specializing in axial flux electric motor technology, has announced an unofficial world record for electric motor power density with its latest prototype. Recent testing of a 12. 7 kg axial flux motor prototype yielded a short-term peak output of 750 kW, resulting in a recorded power density of 59 kW/kg. This breaks YASA’s. Read more ».",https://chargedevs.com/newswire/the-tech/yasa-reports-new-axial-flux-motor-with-59-kw-kg-peak-power-density/,ChargedEVs,suppliers
24-11-2025,"Ford Pumped The Brakes On An Electric Truck. Now, Here Come The Lawsuits","When EV plans get canceled or pushed back, suppliers are left holding the bag. Plus: Mercedes revamps its EV strategy in America.",https://insideevs.com/news/779848/ford-ev-truck-lawsuit-geely-cm/,Inside EVs,automakers
24-11-2025,Nano One receives C$5-million government grant to support LFP capacity expansion,"Nano One Materials, a Canadian a process technology company specializing in lithium-ion battery cathode active materials (CAM), has been awarded C$5 million ($3. 5 million) in non-repayable financing from Natural Resources Canada (NRCan) under the Energy Innovation Program to scale production of its One-Pot lithium iron phosphate (LFP) CAM and accelerate commercialization. The funding supports Nano. Read more ».",https://chargedevs.com/newswire/nano-one-receives-c5-million-government-grant-to-support-lfp-capacity-expansion/,ChargedEVs,suppliers
24-11-2025,Panasonic Energy to work with Brown University on battery diagnostics analysis,Japan’s Panasonic Energy has formed a joint development initiative with Brown University School of Engineering to improve the performance of lithium-ion batteries by analyzing and addressing materials degradation mechanisms. The partnership will advance analytical methods to pinpoint how materials degrade during battery charge and discharge cycles and apply these insights to accelerate the development of. Read more ».,https://chargedevs.com/newswire/panasonic-energy-to-work-with-brown-university-on-battery-diagnostics-analysis/,ChargedEVs,suppliers
24-11-2025,Taiga’s 2026 Nomad electric snowmobile introduces major hardware and software upgrades,"Taiga Motors has begun international deliveries of its 2026 Nomad electric snowmobile. Nomad is now available throughout North America, Europe and Asia. The latest Nomad model introduces significant upgrades to both hardware and software. Many of the software upgrades will also be available to existing Taiga owners through over-the-air updates. The 2026 Nomad features new.",https://chargedevs.com/newswire/taigas-2026-nomad-electric-snowmobile-introduces-major-hardware-and-software-upgrades/,ChargedEVs,government
24-11-2025,Volvo electric excavators get to work crushing rocks in Canadian quarry,A pair of new Volvo ECR25 Electric mini excavators are busy breaking up oversize rocks in crushing operations at this Ontario-based mine – and the transition from diesel has been as smooth as their electric motors. more….,https://electrek.co/2025/11/24/volvo-electric-excavators-get-to-work-crushing-rocks-in-canadian-quarry/,Electrek,government
24-11-2025,Xiaomi raises its 2025 BEV sales target,"The company celebrated the production of its 500,000th BEV this week.",https://www.just-auto.com/news/xiaomi-raises-its-2025-bev-sales-target/,Just Auto,automakers
24-11-2025,Nissan launches new Teana sedan in China,New model features Level-2 ADAS and Huawei’s HarmonySpace 5. 0 as standard.,https://www.just-auto.com/news/nissan-launches-new-teana-sedan-in-china/,Just Auto,government
24-11-2025,VinFast’s Q3 revenues rise 47% in Q3,Automaker aims to “at least” double BEV sales in 2025.,https://www.just-auto.com/news/vinfasts-q3-revenues-rise-47-in-q3/,Just Auto,automakers
24-11-2025,Ford Trucks’ First Electric Big Rig Has Up To 186 Miles Of Range,The new F-Line E can be fitted with up to four battery packs totaling 314 kWh of usable energy.,https://insideevs.com/news/779801/ford-trucks-f-line-e-electric-truck/,Inside EVs,automakers
24-11-2025,Starship Technologies and Uber Eats forge global autonomous delivery partnership,"Press Release, 24 November 2025 Starship Technologies, a forerunner in sidewalk robot delivery, has teamed up with Uber Eats to revolutionize how meals and groceries reach consumers. The collaboration will deploy Starship’s AI-powered robots, which operate at Level 4 autonomy and can complete deliveries of up to two miles in under 30 minutes, starting in ….",https://telematicswire.net/starship-technologies-and-uber-eats-forge-global-autonomous-delivery-partnership/,Telematics Wire,government
24-11-2025,QCraft teams up with Chery to accelerate L4 autonomous logistics solutions,"Press Release, 24 November 2025 Global autonomous driving firm QCraft has announced a strategic partnership with Chery Commercial Vehicle, a subsidiary of China’s Chery Holding Group, marking QCraft’s formal entry into the Level 4 (L4) autonomous logistics arena. The collaboration is designed to integrate QCraft’s advanced L4 driving technology into Chery’s commercial vehicle platforms, paving ….",https://telematicswire.net/qcraft-teams-up-with-chery-to-accelerate-l4-autonomous-logistics-solutions/,Telematics Wire,government
24-11-2025,Zoox launches robotaxi rides in San Francisco,"Press Release, 24 November 2025 Zoox, the autonomous-vehicle unit owned by Amazon, has opened its “Explorers” program to offer free robotaxi rides in select San Francisco neighbourhoods, marking a major stride into public-facing service. The offering, available via wait-list in areas such as SoMa and the Mission, uses purpose-built electric vehicles without steering wheels or ….",https://telematicswire.net/zoox-launches-robotaxi-rides-in-san-francisco/,Telematics Wire,automakers
24-11-2025,Xiaomi launches open-source “MiMo-Embodied” AI model for autonomous driving & robotics,"News, 24 November 2025 Xiaomi has unveiled its latest breakthrough: a publicly released foundation model named MiMo‑Embodied, designed to power both autonomous driving and embodied robotics. According to the company, this vision-language model combines capabilities in perception, planning, spatial understanding and driv­e decision-making, and is now available to developers on platforms like Hugging Face and ….",https://telematicswire.net/xiaomi-launches-open-source-mimo-embodied-ai-model-for-autonomous-driving-robotics/,Telematics Wire,government
23-11-2025,Volvo set to ditch LiDAR for 2026 – and Luminar is BIG mad,It seems like the writing was already on the wall last week when Volvo moved to make its Luminar-supplied LiDAR system an option – there are now reports that the Swedish car brand is set to ditch LiDAR tech entirely in 2026. more….,https://electrek.co/2025/11/23/volvo-set-to-ditch-lidar-for-2026-and-luminar-is-big-mad/,Electrek,automakers
23-11-2025,"Hyundai And Kia Owners: For The Quickest Charge, Don't Use Tesla Superchargers","Hyundais and Kias can use Tesla plugs, but that's not always the best way to charge.",https://insideevs.com/news/779729/hyundai-ioniq-kia-ev9-fast-charging-tips-tesla/,Inside EVs,government
22-11-2025,"2025 Jeep Wagoneer S: A Glitchy $74,000 Mess That Proves Stellantis Should Stick To Gas","Jeep's first U. S. -market EV packs a lot of power, but falls down hard on execution.",https://insideevs.com/reviews/779744/2025-jeep-wagoneer-s-review/,Inside EVs,automakers
22-11-2025,New Renault electric van SHOULD be coming to America — as a Nissan,"Unless they have vivid memories of guys like Nigel Mansell, Fernando Alonso, and Sebastian Vettel driving the wheels off a screaming, Renault-powered Formula 1 car, it’s tough to get an American to care about a new Renault — but Nissan’s renewed willingness to work with its old partners means we may yet get the new Trafic E-Tech here. (. ) more….",https://electrek.co/2025/11/22/new-renault-electric-van-should-be-coming-to-america-as-a-nissan/,Electrek,automakers
22-11-2025,Kia’s Pivot: Why The EV Trailblazer Is Betting Big On Hybrids,"Right now, Kia dealers and customers are asking for more hybrids, executives say. Kia aims to deliver.",https://insideevs.com/news/779727/kia-hybrid-strategy/,Inside EVs,automakers
22-11-2025,Daimler CEO just dropped some pretty WILD pro-hydrogen claims,"Daimler Truck AG CEO Karin Rådström hopped on LinkedIn today and dropped some absolutely wild pro-hydrogen talking points, using words like “emotional” and “inspiring” while making some pretty heady claims about the viability and economics of hydrogen. The rant is doubly embarrassing for another reason: the company’s hydrogen trucks are more than 100 million miles behind Volvo’s electric semis. UPDATE 22NOV2025: Daimler just delivered five new hydrogen semis for trials. more….",https://electrek.co/2025/11/22/daimler-ceo-just-dropped-some-pretty-wild-pro-hydrogen-claims/,Electrek,government
22-11-2025,You Want A Used Tesla With These Batteries,Data shows that Tesla Model 3s with LFP batteries retain more range over time than similar models with other chemistries.,https://insideevs.com/news/779726/tesla-lfp-batteries-voltest-degradation/,Inside EVs,government
22-11-2025,LEAD unveils high-precision solid-state battery cell stacking machine,"LEAD has released of an integrated solid-state battery cutting and stacking machine targeted at addressing the technical challenges of next-generation energy storage manufacturing. The machine is engineered for the specific requirements of solid-solid interface materials used in all-solid-state batteries, which require highly precise and controlled stacking due to their sensitivity and brittle nature. The new. Read more ».",https://chargedevs.com/newswire/the-tech/lead-unveils-high-precision-solid-state-battery-cell-stacking-machine/,ChargedEVs,suppliers
21-11-2025,Volvo Admits Software Is Hard. But Its 2026 Cars May Finally Fix the Problem,"Tastes between countries, ages, and buyers are different. But Volvo is figuring out how to make things easier, its Head of Car UX said.",https://insideevs.com/news/779728/volvo-ex30-2026-ex90-software/,Inside EVs,automakers
21-11-2025,"Podcast: Electricity is the base currency, Tesla Robotaxi crashes, new Porsche Cayenne EV, and more","In the Electrek Podcast, we discuss the most popular news in the world of sustainable transport and energy. In this week’s episode, we discuss electricity becoming the base currency, Tesla Robotaxi crashes, the new Porsche Cayenne EV, and more. more….",https://electrek.co/2025/11/21/podcast-electricity-base-currency-tesla-robotaxi-crashes-new-porsche-cayenne-ev/,Electrek,automakers
21-11-2025,Wallbox pushes new wave of EV chargers across the Mountain West,"Wallbox is ramping up its partnership with distributor Codale Electric Supply to roll out more EV chargers across the Mountain West, a region that’s seeing a rapid escalation of electrification programs and regional highway corridor build-outs. more….",https://electrek.co/2025/11/21/wallbox-codale-ev-chargers-mountain-west/,Electrek,government
21-11-2025,"Ford's $30,000 EV Truck Reveals The Shocking Relationship Between Design And Battery Costs","The design of Ford's new U. S. -made $30,000 EV truck remains a mystery. But Ford had to get clever with how it looks to combat BYD on costs.",https://insideevs.com/news/779711/ford-30k-ev-truck-aerodynamics/,Inside EVs,automakers
